sparql,owl
"SELECT ?label WHERE { ?disease <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Diseases_and_disorders> ; <http://www.w3.org/2000/01/rdf-schema#label> ?label } ","ObjectProperty: http://www.w3.org/2000/01/rdf-schema#labelInverse 
   inverseOf http://www.w3.org/2000/01/rdf-schema#label
(Thing THAT (http://www.w3.org/2000/01/rdf-schema#labelInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Diseases_and_disorders )))))"
"SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?name ; a <http://dbpedia.org/ontology/Artist> ; <http://dbpedia.org/ontology/nationality> <http://dbpedia.org/resource/Spain> ; <http://dbpedia.org/ontology/birthDate> ?nacimiento } ","(Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )) AND (Thing THAT ( http://dbpedia.org/ontology/nationality SOME http://dbpedia.org/resource/Spain )) AND (Thing THAT ( http://dbpedia.org/ontology/birthDate SOME Thing ))"
"SELECT ?page ?name WHERE { ?x <http://xmlns.com/foaf/0.1/page> ?page ; <http://xmlns.com/foaf/0.1/name> ?name } ","ObjectProperty: http://xmlns.com/foaf/0.1/pageInverse 
   inverseOf http://xmlns.com/foaf/0.1/page
(Thing THAT (http://xmlns.com/foaf/0.1/pageInverse SOME ((Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing )))))"
"SELECT ?p ?n ?l WHERE { ?p <http://dbpedia.org/property/residence> ?l ; <http://xmlns.com/foaf/0.1/name> ?n . ?l <http://www.w3.org/2000/01/rdf-schema#label> "Brazil"@en } ","(Thing THAT (http://dbpedia.org/property/residence SOME ((Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Brazil"@en ))))) AND (Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Kyshtym> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Kyshtym))"
"SELECT ?property ?hasValue ?isValueOf WHERE { { ?isValueOf ?property <http://dbpedia.org/resource/Barack_Obama> } } ","((topProperty SOME http://dbpedia.org/resource/Barack_Obama))"
"SELECT * WHERE { ?x a <http://dbpedia.org/ontology/Film> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film ))"
"SELECT * WHERE { ?subject <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:The_Simpsons_episodes%2C_season_12> . ?episode <http://dbpedia.org/property/blackboard> ?chalkboard_gag } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:The_Simpsons_episodes%2C_season_12 ))"
"SELECT ?label WHERE { <http://dbpedia.org/resource/Asturias> <http://www.w3.org/2000/01/rdf-schema#label> ?label } ","ObjectProperty: http://www.w3.org/2000/01/rdf-schema#labelInverse 
   inverseOf http://www.w3.org/2000/01/rdf-schema#label
(Thing THAT (http://www.w3.org/2000/01/rdf-schema#labelInverse SOME http://dbpedia.org/resource/Asturias))"
"SELECT ?s WHERE { ?s <http://www.w3.org/2000/01/rdf-schema#label> "Nagorno"@en } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Nagorno"@en ))"
